episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths
4197.425091054894,3657.8968682093046,3896.739367422844,500.0,0,0,4,0,0,10800,5120,5400,5120,600,768,402.7196810737389,515.4811917743858,5400,768,10800,False,8,11,66c5b_00000,2025-03-22_16-55-49,1742662549,1.5053420066833496,13.79439115524292,15528,Jacob,127.0.0.1,13.79439115524292,11,5400,5120,10800,5120,4197.425091054894,3657.8968682093046,3896.739367422844,500.0,0,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486]","[500, 500, 500, 500, 500, 500, 500, 500]",529.594,311.103,5400,5120,10800,5120,29.85,92.55,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486]","[500, 500, 500, 500, 500, 500, 500, 500]"
4197.425091054894,3500.631770524681,3837.545118960064,500.0,4,0,4,0,0,12000,5888,6000,5888,600,768,409.96966665906433,524.7611733236023,6000,768,12000,False,12,12,66c5b_00000,2025-03-22_16-55-51,1742662551,1.4846041202545166,15.278995275497437,15528,Jacob,127.0.0.1,15.278995275497437,12,6000,5888,12000,5888,4197.425091054894,3500.631770524681,3837.545118960064,500.0,4,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",526.872,309.12,6000,5888,12000,5888,30.55,92.5,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]"
4197.425091054894,3500.631770524681,3837.545118960064,500.0,0,0,4,0,0,12800,6400,6400,6400,400,512,398.0107547161307,509.45376603664727,6400,512,12800,False,12,13,66c5b_00000,2025-03-22_16-55-52,1742662552,1.0229854583740234,16.30198073387146,15528,Jacob,127.0.0.1,16.30198073387146,13,6400,6400,12800,6400,4197.425091054894,3500.631770524681,3837.545118960064,500.0,0,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",496.68,278.908,6400,6400,12800,6400,36.9,92.6,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]"
4197.425091054894,3500.631770524681,3837.545118960064,500.0,0,0,4,0,0,14000,7168,7000,7168,600,768,409.57706795062256,524.2586469767969,7000,768,14000,False,12,14,66c5b_00000,2025-03-22_16-55-54,1742662554,1.4817090034484863,17.783689737319946,15528,Jacob,127.0.0.1,17.783689737319946,14,7000,7168,14000,7168,4197.425091054894,3500.631770524681,3837.545118960064,500.0,0,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",492.251,275.737,7000,7168,14000,7168,29.833333333333332,92.96666666666665,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]"
4197.425091054894,3500.631770524681,3837.545118960064,500.0,0,0,4,0,0,15200,7936,7600,7936,600,768,398.8877474857739,510.5763167817906,7600,768,15200,False,12,15,66c5b_00000,2025-03-22_16-55-55,1742662555,1.5196778774261475,19.303367614746094,15528,Jacob,127.0.0.1,19.303367614746094,15,7600,7936,15200,7936,4197.425091054894,3500.631770524681,3837.545118960064,500.0,0,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",495.79,280.208,7600,7936,15200,7936,32.4,93.15,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]"
4197.425091054894,3500.631770524681,3812.7931151140933,500.0,4,0,4,0,0,16400,8704,8200,8704,600,768,404.6755256589491,517.9846728434547,8200,768,16400,False,16,16,66c5b_00000,2025-03-22_16-55-57,1742662557,1.500321626663208,20.8036892414093,15528,Jacob,127.0.0.1,20.8036892414093,16,8200,8704,16400,8704,4197.425091054894,3500.631770524681,3812.7931151140933,500.0,4,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467, 3880.592019885277, 3695.2430799201347, 3616.5458082492873, 3761.767506250031]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",495.301,280.706,8200,8704,16400,8704,32.75,93.25,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467, 3880.592019885277, 3695.2430799201347, 3616.5458082492873, 3761.767506250031]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]"
4197.425091054894,3500.631770524681,3812.7931151140933,500.0,0,0,4,0,0,17600,9472,8800,9472,600,768,416.0622375000248,532.5596640000317,8800,768,17600,False,16,17,66c5b_00000,2025-03-22_16-55-58,1742662558,1.4591929912567139,22.262882232666016,15528,Jacob,127.0.0.1,22.262882232666016,17,8800,9472,17600,9472,4197.425091054894,3500.631770524681,3812.7931151140933,500.0,0,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467, 3880.592019885277, 3695.2430799201347, 3616.5458082492873, 3761.767506250031]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",492.893,278.265,8800,9472,17600,9472,34.6,93.35,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467, 3880.592019885277, 3695.2430799201347, 3616.5458082492873, 3761.767506250031]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]"
4197.425091054894,3500.631770524681,3812.7931151140933,500.0,0,0,4,0,0,18800,10240,9400,10240,600,768,410.62093838782755,525.5948011364193,9400,768,18800,False,16,18,66c5b_00000,2025-03-22_16-56-00,1742662560,1.4771809577941895,23.740063190460205,15528,Jacob,127.0.0.1,23.740063190460205,18,9400,10240,18800,10240,4197.425091054894,3500.631770524681,3812.7931151140933,500.0,0,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467, 3880.592019885277, 3695.2430799201347, 3616.5458082492873, 3761.767506250031]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",489.332,273.457,9400,10240,18800,10240,31.15,93.4,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467, 3880.592019885277, 3695.2430799201347, 3616.5458082492873, 3761.767506250031]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]"
4197.425091054894,3500.631770524681,3812.7931151140933,500.0,0,0,4,0,0,19600,10752,9800,10752,400,512,336.55371189270863,430.78875122266703,9800,512,19600,False,16,19,66c5b_00000,2025-03-22_16-56-01,1742662561,1.207061529159546,24.94712471961975,15528,Jacob,127.0.0.1,24.94712471961975,19,9800,10752,19600,10752,4197.425091054894,3500.631770524681,3812.7931151140933,500.0,0,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467, 3880.592019885277, 3695.2430799201347, 3616.5458082492873, 3761.767506250031]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",507.769,275.075,9800,10752,19600,10752,31.35,93.95,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467, 3880.592019885277, 3695.2430799201347, 3616.5458082492873, 3761.767506250031]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]"
4197.425091054894,3450.1503101896874,3783.296534637625,500.0,4,0,4,0,0,20400,11264,10200,11264,400,512,313.18702570799854,400.87939290623814,10200,512,20400,False,20,20,66c5b_00000,2025-03-22_16-56-02,1742662562,1.2925176620483398,26.23964238166809,15528,Jacob,127.0.0.1,26.23964238166809,20,10200,11264,20400,11264,4197.425091054894,3450.1503101896874,3783.296534637625,500.0,4,0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467, 3880.592019885277, 3695.2430799201347, 3616.5458082492873, 3761.767506250031, 3683.1688804303435, 3450.1503101896874, 3641.368973943013, 3886.552686363975]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]",536.9,270.419,10200,11264,20400,11264,25.85,94.0,"[3992.323933405896, 4098.312040329392, 3860.277173712534, 3657.8968682093046, 3705.497314483103, 3857.1073673851447, 4197.425091054894, 3805.075150802486, 3802.5369891713754, 3500.631770524681, 3860.304086049503, 3713.1536423924467, 3880.592019885277, 3695.2430799201347, 3616.5458082492873, 3761.767506250031, 3683.1688804303435, 3450.1503101896874, 3641.368973943013, 3886.552686363975]","[500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500, 500]"
